LLP,Diesel Cost,Demand,PV energy,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,LCOE,NPC
3.19,1.035,128208122.829654,503823.180031419,1.373,1.565,0.527,0.27903349322224,267214.567999697
4.34,0.723,120443412.640707,417993.759568193,1.399,1.322,0.598,0.23781072748383,213945.298666723
2.67,1.249,75905147.9040892,492204.23748792,1.43,1.63,0.475,0.315590244758136,178929.955877679
1.12,1.192,75905147.9040892,498978.767180072,1.544,1.457,0.437,0.306746982483126,173916.098336249
0.55,0.298,136752178.826227,500994.568547431,1.455,1.531,0.526,0.135293199562841,138196.955597512
1.38,0.503,75905147.9040892,500994.568547431,1.77,1.515,0.466,0.192079481689694,108903.154500496
1.46,1.194,105671890.448763,503823.180031419,1.615,1.648,0.554,0.327200749931262,258262.898655385
1.78,1.003,136752178.826227,492204.23748792,1.372,1.505,0.571,0.277462443786854,283417.534272879
1.44,0.587,154222876.816518,503823.180031419,1.319,1.654,0.587,0.198034844709481,228128.038304209
0.89,1.116,75905147.9040892,503823.180031419,1.516,1.594,0.565,0.30986673851817,175684.903991593
4.72,0.541,154222876.816518,500994.568547431,1.608,1.674,0.555,0.196178708702995,225989.845570467
0,0.931,145702617.80883,417993.759568193,1.508,1.385,0.42,0.276867237248865,301319.456606249
0.21,1.246,120443412.640707,503823.180031419,1.795,1.571,0.433,0.33847426752837,304506.777400448
3.5,0.365,110326321.232038,503823.180031419,1.622,1.593,0.495,0.15739693538242,129707.074181546
4.04,0.845,128208122.829654,492204.23748792,1.538,1.383,0.598,0.249298110796904,238738.676889508
1.22,0.647,120443412.640707,498978.767180072,1.462,1.476,0.409,0.223472821667329,201046.269364627
3.5,0.35,128208122.829654,498978.767180072,1.497,1.424,0.463,0.147840553939705,141578.522698599
3.61,1.009,120703373.658017,500994.568547431,1.381,1.329,0.582,0.276522111807966,249308.753608099
0.84,0.582,145702617.80883,500994.568547431,1.342,1.304,0.454,0.190561730186242,207391.663817748
0.69,0.91,145702617.80883,492204.23748792,1.482,1.495,0.591,0.265424681200948,288866.322733115
3.56,1.221,110326321.232038,498978.767180072,1.353,1.527,0.542,0.307838403705742,253682.313244387
2.54,0.705,154222876.816518,417993.759568193,1.673,1.576,0.418,0.239703367778659,276128.471969053
4.81,0.641,120703373.658017,492204.23748792,1.666,1.7,0.435,0.221788830012483,199961.935821647
0.28,0.99,120443412.640707,498978.767180072,1.761,1.447,0.578,0.306544909124212,275781.680798241
0.6,1.242,68635646.7221124,417993.759568193,1.778,1.388,0.53,0.356301064444859,182664.900133579
4.28,0.421,120443412.640707,498978.767180072,1.708,1.68,0.547,0.179950654263214,161891.756856231
2.14,0.857,75905147.9040892,500994.568547431,1.49,1.475,0.456,0.254331350378469,144198.048125367
2.12,0.666,68635646.7221124,417993.759568193,1.55,1.575,0.472,0.232918485004187,119410.341557199
1.19,0.416,145702617.80883,500994.568547431,1.522,1.526,0.583,0.165153729081683,179739.691838864
2.87,0.44,145702617.80883,492204.23748792,1.704,1.341,0.508,0.170866436257505,185956.930971502
2.69,0.501,68635646.7221124,492204.23748792,1.618,1.695,0.52,0.193616131262289,99261.2001773832
4.16,0.633,84971598.4946137,500994.568547431,1.551,1.475,0.506,0.211871369378304,134472.759058485
1.62,0.685,68635646.7221124,498978.767180072,1.466,1.369,0.421,0.22024443663649,112912.735991578
3.9,0.959,120703373.658017,417993.759568193,1.466,1.306,0.576,0.280265313873117,252683.576096126
2.67,0.367,120703373.658017,492204.23748792,1.586,1.51,0.529,0.157095742518251,141635.48624843
0.48,0.423,84971598.4946137,500994.568547431,1.498,1.661,0.441,0.17213388084492,109251.750024471
3.78,0.473,84971598.4946137,492204.23748792,1.636,1.388,0.42,0.179525063356109,113942.863825741
4.74,0.452,136752178.826227,500994.568547431,1.656,1.623,0.543,0.177963450324719,181783.024734231
0.43,0.489,68635646.7221124,498978.767180072,1.558,1.39,0.447,0.183199516625356,93920.9133742831
4.17,1.192,145702617.80883,500994.568547431,1.437,1.556,0.483,0.298104178194713,324431.990864068
4.16,0.734,75905147.9040892,500994.568547431,1.737,1.415,0.421,0.236050301901952,133833.256273807
3.12,0.595,154222876.816518,500994.568547431,1.395,1.559,0.406,0.198957679233314,229191.105916933
4.61,0.553,145702617.80883,503823.180031419,1.651,1.339,0.592,0.192938017186914,209977.818520983
2.42,0.702,120443412.640707,498978.767180072,1.503,1.305,0.533,0.229407378612723,206385.265513248
2.94,1.135,68635646.7221124,417993.759568193,1.447,1.641,0.548,0.323609370524168,165904.846344447
4.96,0.329,128208122.829654,500994.568547431,1.662,1.376,0.419,0.141992289162588,135977.970851152
2.42,1.276,154222876.816518,500994.568547431,1.489,1.593,0.479,0.309883967448919,356973.651277152
3.74,1.24,110326321.232038,417993.759568193,1.443,1.398,0.496,0.325488310833343,268227.182288596
3.7,0.945,154222876.816518,492204.23748792,1.67,1.498,0.499,0.27295823307218,314436.716129878
4.34,0.944,68635646.7221124,498978.767180072,1.633,1.679,0.559,0.281275904034102,144201.744107679
2.28,0.833,154222876.816518,498978.767180072,1.427,1.436,0.427,0.240889134980516,277494.427268697
0.15,1.076,145702617.80883,492204.23748792,1.774,1.598,0.433,0.301642673386049,328282.997067805
4.84,0.466,145702617.80883,498978.767180072,1.723,1.617,0.571,0.182509805627456,198628.613495159
3.73,0.367,120443412.640707,500994.568547431,1.378,1.498,0.563,0.157526179218278,141717.683711193
0.56,1.16,105671890.448763,503823.180031419,1.309,1.552,0.449,0.295039975846265,232878.070717376
0.67,1.041,145702617.80883,498978.767180072,1.443,1.631,0.465,0.282231863091362,307157.872736013
3.56,0.291,120443412.640707,503823.180031419,1.443,1.411,0.402,0.137415797310473,123625.47353594
4.71,0.703,136752178.826227,498978.767180072,1.647,1.578,0.523,0.227756461803486,232644.728194805
0.73,0.638,136752178.826227,503823.180031419,1.78,1.359,0.525,0.215715012212426,220344.836701054
1.68,0.958,75905147.9040892,498978.767180072,1.795,1.401,0.55,0.285459834107111,161846.940360213
3.73,0.507,128208122.829654,503823.180031419,1.438,1.397,0.481,0.179668096374646,172057.956920034
1.4,0.794,145702617.80883,503823.180031419,1.483,1.688,0.455,0.242686569131186,264120.037686198
4.98,1.042,110326321.232038,503823.180031419,1.696,1.692,0.45,0.289199094823708,238322.101725778
4.03,0.39,75905147.9040892,503823.180031419,1.341,1.5,0.446,0.156793397605547,88897.0308222706
1.82,0.809,105671890.448763,492204.23748792,1.341,1.492,0.506,0.244604285905547,193068.664771606
0.35,0.403,136752178.826227,503823.180031419,1.484,1.502,0.439,0.161379922871294,164843.57016788
1.29,0.428,120703373.658017,498978.767180072,1.427,1.597,0.55,0.169551082148954,152865.059098115
3.2,1.245,154222876.816518,498978.767180072,1.728,1.501,0.484,0.319296550873084,367816.562256175
4.29,0.381,154222876.816518,500994.568547431,1.722,1.31,0.49,0.155666007195789,179320.871053376
1.96,0.526,120443412.640707,500994.568547431,1.672,1.411,0.416,0.199560454097964,179533.620731886
4.97,0.41,110326321.232038,492204.23748792,1.616,1.582,0.537,0.168275029602299,138671.453128973
2.24,0.32,75905147.9040892,492204.23748792,1.394,1.523,0.431,0.142736334354287,80927.1085921162
0.96,1.124,120703373.658017,498978.767180072,1.339,1.495,0.427,0.285622454912854,257513.505054745
1.07,0.744,75905147.9040892,492204.23748792,1.478,1.593,0.509,0.238932297355876,135467.258997198
4.78,0.641,75905147.9040892,417993.759568193,1.729,1.305,0.575,0.22390810548498,126949.004604964
1.95,1.065,110326321.232038,492204.23748792,1.587,1.669,0.504,0.298013080538337,245585.497904012
3.28,0.964,68635646.7221124,417993.759568193,1.369,1.365,0.481,0.281125414053461,144124.592395186
0.35,0.89,110326321.232038,498978.767180072,1.699,1.59,0.455,0.268483653628605,221250.998903678
1.49,1.189,136752178.826227,500994.568547431,1.759,1.368,0.438,0.310010822999041,316664.489266122
3.14,0.388,110326321.232038,500994.568547431,1.551,1.446,0.435,0.158270531851776,130426.984272427
3.08,0.88,145702617.80883,503823.180031419,1.792,1.36,0.434,0.260419276318193,283418.853056483
1,0.751,110326321.232038,498978.767180072,1.323,1.479,0.485,0.228409218230066,188226.608991684
3.36,0.612,120443412.640707,500994.568547431,1.626,1.673,0.512,0.221087211075759,198900.066054473
4.85,0.618,120443412.640707,492204.23748792,1.788,1.462,0.426,0.22043134288765,198310.017334318
2.48,1.093,84971598.4946137,498978.767180072,1.8,1.325,0.437,0.300911735369431,190985.839223767
4.65,0.63,105671890.448763,498978.767180072,1.762,1.572,0.417,0.219182795183651,173003.222124066
4.16,0.82,75905147.9040892,492204.23748792,1.709,1.368,0.441,0.252311958639165,143053.115159868
0.45,0.871,120703373.658017,500994.568547431,1.339,1.598,0.411,0.251713616599866,226941.735727377
4.09,0.33,154222876.816518,498978.767180072,1.484,1.392,0.566,0.141240626699777,162703.422951378
0.36,0.576,136752178.826227,500994.568547431,1.746,1.691,0.405,0.209049074591312,213535.830125576
3.33,0.379,75905147.9040892,498978.767180072,1.702,1.561,0.539,0.162514421535369,92140.675314903
3.6,0.637,105671890.448763,492204.23748792,1.49,1.565,0.442,0.214870369070092,169599.380083488
2.21,1.128,110326321.232038,417993.759568193,1.33,1.48,0.561,0.309741311062702,255250.453977941
3.73,0.303,154222876.816518,417993.759568193,1.6,1.317,0.562,0.13235485615268,152467.378851642
4.35,0.566,145702617.80883,498978.767180072,1.674,1.68,0.583,0.203519261619179,221493.571898773
0.93,1.15,84971598.4946137,500994.568547431,1.502,1.438,0.545,0.310168186701905,196860.821546395
1.08,0.816,136752178.826227,492204.23748792,1.405,1.425,0.418,0.239550350041853,244691.745003234
1.41,1.14,136752178.826227,498978.767180072,1.548,1.585,0.572,0.30834638241074,314964.32530504
0.14,0.549,105671890.448763,500994.568547431,1.321,1.355,0.408,0.187672324518889,148131.685327202
4.27,0.471,154222876.816518,492204.23748792,1.451,1.419,0.476,0.173235315677339,199559.995557639
0.34,0.502,75905147.9040892,503823.180031419,1.684,1.44,0.547,0.189115331421486,107222.572525879
0.69,1.253,110326321.232038,500994.568547431,1.619,1.686,0.478,0.324178465089605,267147.769537409
1.91,1.118,68635646.7221124,492204.23748792,1.708,1.614,0.543,0.319228628689503,163658.971017112
4.03,1.019,120443412.640707,492204.23748792,1.496,1.659,0.448,0.293725138288659,264248.434467131
4.61,1.023,136752178.826227,503823.180031419,1.444,1.314,0.52,0.272831740321707,278687.443453636
1.24,0.635,145702617.80883,417993.759568193,1.463,1.321,0.483,0.214258201823267,233180.94834308
0.37,0.815,145702617.80883,500994.568547431,1.452,1.602,0.57,0.247629652883761,269499.682186881
3.67,0.948,128208122.829654,500994.568547431,1.579,1.304,0.564,0.267350636451207,256026.557954653
0.26,1.196,128208122.829654,500994.568547431,1.636,1.462,0.494,0.316119758635009,302729.983287502
2.3,0.356,145702617.80883,500994.568547431,1.394,1.36,0.523,0.145120110268085,157936.754103243
3.99,0.804,84971598.4946137,500994.568547431,1.789,1.392,0.477,0.250851724285517,159213.222523808
4.29,0.725,110326321.232038,492204.23748792,1.432,1.5,0.5,0.226170736274807,186381.929206024
4.5,0.838,84971598.4946137,503823.180031419,1.619,1.48,0.577,0.253526368272323,160910.793825963
4.86,0.598,68635646.7221124,500994.568547431,1.357,1.536,0.479,0.202369690446279,103748.888185412
1.56,0.628,110326321.232038,417993.759568193,1.768,1.552,0.415,0.227394664869977,187390.539676749
2.7,1.06,105671890.448763,498978.767180072,1.477,1.363,0.569,0.292640501398053,230984.140992659
3.24,1.268,75905147.9040892,417993.759568193,1.384,1.379,0.482,0.330532505803308,187401.758013307
4.73,0.471,105671890.448763,500994.568547431,1.534,1.531,0.483,0.179745264218096,141874.775550776
2.86,0.608,128208122.829654,500994.568547431,1.733,1.692,0.435,0.214576007435958,205487.285658685
4.07,0.972,105671890.448763,503823.180031419,1.67,1.522,0.418,0.278285672185386,219653.727468408
1.56,0.422,128208122.829654,500994.568547431,1.422,1.577,0.536,0.165578643710255,158565.286332031
4.06,0.317,84971598.4946137,498978.767180072,1.495,1.381,0.526,0.138612926762266,87976.3167509994
4.27,0.531,145702617.80883,417993.759568193,1.795,1.627,0.564,0.206387613621266,224615.249549088
2.37,1.008,120443412.640707,503823.180031419,1.495,1.367,0.473,0.287763973055522,258885.500298016
3.14,0.85,84971598.4946137,417993.759568193,1.414,1.495,0.581,0.262009966031898,166295.253278036
0.06,1.219,120443412.640707,417993.759568193,1.755,1.609,0.446,0.362602958482691,326214.040345558
0.21,1.025,75905147.9040892,500994.568547431,1.638,1.437,0.411,0.286773913801148,162591.983103388
1.09,0.431,110326321.232038,503823.180031419,1.506,1.57,0.58,0.169943838987925,140046.679287287
1.65,1.192,120443412.640707,492204.23748792,1.721,1.458,0.468,0.333006121109558,299587.385280908
0.4,1.123,105671890.448763,498978.767180072,1.409,1.623,0.554,0.309234614460765,244082.044164004
2.27,0.921,128208122.829654,492204.23748792,1.763,1.678,0.439,0.275662386266975,263986.249856489
0.77,0.876,84971598.4946137,498978.767180072,1.384,1.485,0.402,0.25098826534359,159299.883845051
0.86,1.235,128208122.829654,503823.180031419,1.527,1.632,0.473,0.313207399934156,299940.982357464
4.11,1.278,120703373.658017,492204.23748792,1.322,1.63,0.503,0.31420108683368,283279.629352804
4.85,1.202,120703373.658017,417993.759568193,1.392,1.612,0.443,0.316746308420995,285574.368162083
3.01,0.905,84971598.4946137,498978.767180072,1.747,1.648,0.59,0.276546964702276,175521.749172083
4.14,1.01,84971598.4946137,492204.23748792,1.423,1.551,0.581,0.282910101802323,179560.372250896
3.65,1.263,145702617.80883,492204.23748792,1.347,1.459,0.493,0.304029319226417,330880.425477455
0.04,0.83,110326321.232038,500994.568547431,1.476,1.301,0.564,0.247006420940775,203552.121815084
2.24,0.914,120443412.640707,417993.759568193,1.416,1.569,0.529,0.288868222606468,259878.933195174
2.84,0.395,145702617.80883,417993.759568193,1.75,1.495,0.525,0.166030300307171,180693.679634477
0.8,0.448,68635646.7221124,500994.568547431,1.4,1.304,0.546,0.167700514725564,85975.0386163542
1.28,0.349,84971598.4946137,503823.180031419,1.332,1.44,0.454,0.145706687813729,92478.6599580635
4.97,1.246,68635646.7221124,503823.180031419,1.463,1.579,0.566,0.324003507333085,166106.908499249
3.67,0.404,105671890.448763,417993.759568193,1.425,1.687,0.545,0.172399833583801,136076.952019248
2.75,1.088,120443412.640707,417993.759568193,1.605,1.663,0.571,0.332074573375405,298749.322758185
2.5,1.033,120443412.640707,500994.568547431,1.336,1.57,0.443,0.286585593540082,257825.376728145
1.48,0.476,120703373.658017,503823.180031419,1.679,1.502,0.433,0.183091861066153,165073.249946426
1.34,0.771,68635646.7221124,503823.180031419,1.332,1.376,0.584,0.235105663885403,120531.642759411
3.49,0.868,105671890.448763,498978.767180072,1.606,1.674,0.51,0.265171223990322,209302.359368443
0.14,1.129,145702617.80883,503823.180031419,1.413,1.625,0.481,0.295547364587036,321649.365897083
0.57,0.463,120443412.640707,503823.180031419,1.738,1.32,0.566,0.186262800372953,167570.449314576
3.8,0.788,154222876.816518,500994.568547431,1.758,1.635,0.527,0.248398998923036,286145.483256606
4.71,0.495,120443412.640707,417993.759568193,1.348,1.429,0.544,0.189675905233938,170641.032995095
4.46,1.152,136752178.826227,503823.180031419,1.744,1.463,0.568,0.309528166962231,316171.474132298
0.53,1.109,110326321.232038,498978.767180072,1.532,1.301,0.436,0.290996355793443,239803.181782124
1.62,1.138,128208122.829654,503823.180031419,1.564,1.524,0.547,0.306067260949152,293103.27577141
4.06,0.304,110326321.232038,500994.568547431,1.334,1.472,0.522,0.13516118049939,111383.116976862
0.98,0.318,68635646.7221124,503823.180031419,1.509,1.443,0.439,0.141213041202763,72395.7030806278
2.11,1.121,120443412.640707,500994.568547431,1.718,1.629,0.474,0.321092019900651,288868.920355231
4.53,1.11,136752178.826227,417993.759568193,1.553,1.496,0.597,0.311076974375061,317753.523118881
2.48,0.466,128208122.829654,503823.180031419,1.639,1.478,0.513,0.177636269498153,170112.191432234
1.86,1.169,75905147.9040892,500994.568547431,1.68,1.638,0.552,0.323635643420966,183491.449306799
1,0.496,136752178.826227,498978.767180072,1.753,1.67,0.541,0.191842947853074,195960.413618814
3.22,0.953,128208122.829654,498978.767180072,1.71,1.467,0.546,0.276776464966853,265053.139909966
1.71,0.469,154222876.816518,498978.767180072,1.545,1.364,0.55,0.173295759828964,199629.624747176
2.69,1.169,120443412.640707,503823.180031419,1.344,1.522,0.447,0.300153277203502,270031.479305176
3.4,0.374,120703373.658017,503823.180031419,1.43,1.4,0.449,0.152473613493516,137468.234600313
2.59,1.129,68635646.7221124,498978.767180072,1.448,1.552,0.513,0.305040604304546,156385.195224696
1.3,0.678,145702617.80883,492204.23748792,1.637,1.621,0.576,0.226729712671956,246753.911721944
4.99,1.056,105671890.448763,492204.23748792,1.745,1.67,0.595,0.304841387806644,240614.425430301
2.24,1.101,84971598.4946137,417993.759568193,1.599,1.558,0.499,0.318656576703138,202248.32258903
4.43,0.303,120703373.658017,417993.759568193,1.685,1.467,0.581,0.136252740488595,122843.705643655
0.39,0.404,75905147.9040892,498978.767180072,1.647,1.639,0.503,0.171150605992389,97037.1261067529
2.81,0.829,105671890.448763,500994.568547431,1.553,1.48,0.556,0.252942060459676,199649.755509133
1.22,0.603,68635646.7221124,492204.23748792,1.583,1.408,0.427,0.209032190070739,107164.552492893
1.44,0.888,120443412.640707,500994.568547431,1.77,1.603,0.545,0.285553534923445,256896.890064343
4.55,0.798,120443412.640707,500994.568547431,1.46,1.431,0.484,0.246125531536783,221425.67289242
4.84,1.114,128208122.829654,498978.767180072,1.576,1.551,0.597,0.300339896051637,287618.502889155
1.01,1.263,145702617.80883,498978.767180072,1.49,1.445,0.439,0.298707558661798,325088.660379303
3.07,1.171,75905147.9040892,492204.23748792,1.336,1.396,0.587,0.308038336267063,174648.256187832
1.1,0.893,105671890.448763,417993.759568193,1.377,1.611,0.46,0.273986473225619,216260.325755609
3,0.353,136752178.826227,492204.23748792,1.505,1.6,0.45,0.152764460267531,156043.196558922
4.8,0.46,110326321.232038,417993.759568193,1.746,1.67,0.541,0.189682895349898,156313.166570508
2.14,0.498,105671890.448763,503823.180031419,1.735,1.423,0.513,0.187667554461143,148127.920271833
3.68,0.667,128208122.829654,492204.23748792,1.697,1.364,0.475,0.219457774122178,210162.277040793
1.45,0.916,128208122.829654,503823.180031419,1.736,1.597,0.424,0.270276883830889,258828.859285552
1.08,0.794,154222876.816518,417993.759568193,1.478,1.637,0.468,0.25403802357589,292641.408930151
4.44,0.73,145702617.80883,492204.23748792,1.685,1.417,0.453,0.231847745185204,252323.956018657
2,0.365,120443412.640707,498978.767180072,1.662,1.528,0.589,0.163838018609487,147396.100231661
2.35,0.549,128208122.829654,500994.568547431,1.769,1.61,0.453,0.201544287213564,193007.545505246
1.72,0.499,120703373.658017,417993.759568193,1.751,1.388,0.433,0.194682259673333,175523.003174782
1.82,0.857,75905147.9040892,417993.759568193,1.489,1.692,0.591,0.273297742563884,154951.408767094
2.85,0.766,84971598.4946137,503823.180031419,1.542,1.613,0.56,0.241820440145192,153481.151693501
2.21,0.299,105671890.448763,500994.568547431,1.718,1.622,0.469,0.139205933858258,109876.667445952
4.23,0.293,68635646.7221124,492204.23748792,1.693,1.496,0.524,0.134723968718096,69068.9496811728
2.93,0.897,136752178.826227,503823.180031419,1.616,1.645,0.468,0.263653498169314,269312.211532919
4.15,1.206,128208122.829654,417993.759568193,1.556,1.639,0.513,0.329092155207442,315152.912542317
2.45,0.453,105671890.448763,498978.767180072,1.739,1.32,0.496,0.175674931374953,138662.020204759
0.19,1.166,154222876.816518,500994.568547431,1.537,1.516,0.589,0.313216457259617,360812.543186798
2.62,1.128,128208122.829654,417993.759568193,1.685,1.335,0.465,0.317294175230415,303854.655525123
3.41,0.566,68635646.7221124,500994.568547431,1.668,1.381,0.487,0.200598536975785,102840.870769541
4.87,0.456,68635646.7221124,492204.23748792,1.336,1.316,0.576,0.168572429509557,86422.0432504581
4.61,1.111,145702617.80883,417993.759568193,1.577,1.433,0.444,0.306118628340187,333154.257127235
1.52,0.668,68635646.7221124,503823.180031419,1.585,1.683,0.414,0.226344712885516,116040.165188434
